start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
0.2165,0.2277,27187.0,35994.0,Nyctalus leisleri,0.383,0.632,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
0.4115,0.425,26328.0,39014.0,Eptesicus serotinus,0.331,0.613,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
0.6065,0.6182,26328.0,37307.0,Eptesicus serotinus,0.415,0.674,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
0.8375,0.8507,26328.0,40055.0,Eptesicus serotinus,0.367,0.666,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
1.0595,1.0737,26328.0,43481.0,Eptesicus serotinus,0.342,0.585,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
1.1985,1.2126,26328.0,41116.0,Eptesicus serotinus,0.301,0.614,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
1.4545,1.471,24609.0,37021.0,Eptesicus serotinus,0.249,0.492,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
1.5885,1.6017,25468.0,41531.0,Eptesicus serotinus,0.416,0.651,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
1.8245,1.8403,25468.0,40073.0,Nyctalus leisleri,0.302,0.591,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
2.0465,2.0622,24609.0,36922.0,Eptesicus serotinus,0.471,0.63,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
2.2765,2.2918,24609.0,39349.0,Eptesicus serotinus,0.354,0.595,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
2.4275,2.4417,25468.0,38241.0,Eptesicus serotinus,0.394,0.611,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
2.5155,2.5246,27187.0,41983.0,Nyctalus leisleri,0.294,0.585,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
2.6305,2.6438,24609.0,45186.0,Eptesicus serotinus,0.476,0.681,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
2.7115,2.7206,25468.0,40640.0,Eptesicus serotinus,0.523,0.668,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
2.7865,2.7951,26328.0,42943.0,Eptesicus serotinus,0.519,0.622,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
2.8645,2.8708,28906.0,47848.0,Eptesicus serotinus,0.399,0.644,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_010/20221017_020000.WAV,Carp Pond,recover-20221017,010,1795
